ID,Name,City,Gender,Height,C1,C2,C3,C4,C5,C6,C7,C8,C9,Constitution
202035,Alicia,Shenzhen,male,163.0,77.0,65.0,79.0,73.0,91.0,10.0,8.0,6,5,general
202036,Mickey,Guangzhou,female,152.0,83.0,83.0,86.0,55.0,91.0,7.0,9.0,10,7,general
202037,Christian,Guangzhou,female,169.0,74.0,75.0,86.0,60.0,91.0,7.0,8.0,6,10,excellent
202038,Leopold,Beijing,male,170.0,85.0,82.0,90.0,62.0,91.0,9.0,8.0,8,6,good
202039,Claudia,Shanghai,female,165.0,77.0,79.0,84.0,85.0,89.0,9.0,7.0,10,7,general
202040,Manda,Beijing,female,163.0,78.0,81.0,91.0,58.0,88.0,8.0,10.0,7,8,general
202041,Tiffany,Beijing,female,155.0,83.0,83.0,91.0,77.0,89.0,10.0,8.0,10,6,general
202042,Angelia,Shanghai,male,174.0,82.0,89.0,86.0,55.0,89.0,7.0,7.0,6,8,excellent
202043,Nikita,Shanghai,female,161.0,80.0,80.0,82.0,71.0,91.0,6.0,8.0,5,7,excellent
202044,Wanda,Shenzhen,male,159.0,81.0,64.0,82.0,67.0,92.0,9.0,7.0,9,8,good
202045,Cosmo,Beijing,female,162.0,85.0,73.0,90.0,73.0,91.0,8.0,7.0,8,10,excellent
202046,Isaac,Shanghai,female,155.0,83.0,76.0,87.0,80.0,85.0,8.0,6.0,7,4,good
202047,Constance,Shanghai,male,167.0,77.0,76.0,89.0,63.0,90.0,10.0,6.0,6,6,excellent
202048,Leslie ,Beijing,female,157.0,81.0,78.0,85.0,79.0,91.0,10.0,6.0,10,8,general
202049,Lucy,Beijing,male,168.0,80.0,94.0,82.0,63.0,90.0,6.0,6.0,10,7,bad
202050,Zelda,Shanghai,female,160.0,84.0,76.0,83.0,66.0,90.0,10.0,7.0,10,6,good
202051,Ethan,Beijing,male,165.0,78.0,86.0,88.0,65.0,93.0,5.0,10.0,8,6,general
202052,Sally,Guangzhou,male,177.0,81.0,93.0,83.0,69.0,88.0,9.0,8.0,6,8,good
202053,Joliet,Guangzhou,female,155.0,80.0,79.0,88.0,60.0,87.0,6.0,8.0,8,7,general
202054,John,Shenzhen,male,166.0,81.0,68.0,84.0,60.0,87.0,5.0,6.0,9,4,excellent
202056,Hugo,Guangzhou,male,165.0,80.0,73.0,89.0,76.0,91.0,6.0,10.0,9,6,good
202057,Amy,Beijing,female,164.0,84.0,79.0,89.0,56.0,90.0,8.0,10.0,9,9,general
202058,Martha,Guangzhou,male,162.0,76.0,82.0,78.0,75.0,91.0,10.0,6.0,10,8,good
202059,Nicholas,Guangzhou,male,163.0,80.0,74.0,86.0,74.0,89.0,8.0,8.0,10,8,excellent
202060,Todd,Guangzhou,male,172.0,76.0,80.0,84.0,66.0,87.0,7.0,9.0,9,10,good
202061,Marcy,Guangzhou,male,166.0,77.0,86.0,88.0,78.0,87.0,9.0,6.0,9,9,general
202062,Winnie,Beijing,male,171.0,81.0,84.0,86.0,70.0,90.0,6.0,7.0,10,8,general
202063,Adeline,Shenzhen,male,163.0,80.0,84.0,87.0,70.0,92.0,10.0,10.0,6,6,general
202064,Timothy,Beijing,male,169.0,83.0,87.0,86.0,77.0,94.0,9.0,6.0,10,7,good
202065,Olivia,Shenzhen,female,169.0,81.0,70.0,88.0,71.0,89.0,7.0,9.0,10,8,excellent
202066,Geoffrey,Shanghai,female,165.0,80.0,86.0,81.0,67.0,88.0,10.0,6.0,7,5,bad
202067,Maxine,Beijing,male,166.0,86.0,79.0,83.0,77.0,90.0,6.0,6.0,10,6,good
202068,Lorrained,Shenzhen,male,162.0,85.0,80.0,73.0,69.0,89.0,10.0,5.0,10,7,bad
202069,Eva,Shenzhen,female,155.0,72.0,92.0,84.0,66.0,92.0,9.0,7.0,10,6,general
202070,Tina,Beijing,male,173.0,74.0,91.0,80.0,78.0,85.0,9.0,7.0,9,10,general
202071,Phoebe,Shanghai,male,170.0,78.0,85.0,91.0,68.0,87.0,9.0,6.0,8,9,general
202072,Karida,Guangzhou,female,149.0,77.0,89.0,82.0,65.0,92.0,10.0,8.0,7,9,general
202073,Juliana,Guangzhou,female,151.0,83.0,71.0,80.0,66.0,87.0,10.0,10.0,6,6,good
202074,Charlotte,Beijing,female,160.0,75.0,78.0,81.0,69.0,92.0,9.0,5.0,10,5,good
202075,Demi,Shenzhen,female,164.0,84.0,67.0,82.0,74.0,92.0,9.0,7.0,5,7,general
202076,David,Guangzhou,male,165.0,79.0,84.0,86.0,72.0,93.0,10.0,8.0,9,8,good
202077,Melissa,Shenzhen,female,159.0,77.0,87.0,85.0,70.0,91.0,5.0,10.0,9,9,general
202078,Sheila,Beijing,female,161.0,79.0,68.0,82.0,83.0,92.0,10.0,6.0,6,10,good
202079,Henry,Shenzhen,male,176.0,81.0,88.0,76.0,88.0,92.0,9.0,9.0,9,9,general
202080,Ivy,Beijing,female,153.0,80.0,87.0,84.0,74.0,88.0,6.0,8.0,9,8,good
202081,Deborah,Shenzhen,male,165.0,76.0,95.0,84.0,65.0,93.0,10.0,6.0,6,6,good
202082,Caspar,Guangzhou,female,166.0,71.0,85.0,82.0,61.0,90.0,8.0,10.0,6,7,general
202083,Susan,Shenzhen,male,163.0,79.0,69.0,87.0,43.0,89.0,7.0,7.0,9,10,general
202084,Ishara,Shenzhen,male,175.0,80.0,74.0,86.0,84.0,89.0,6.0,9.0,9,5,general
202085,lindsay,Beijing,female,155.0,76.0,63.0,83.0,56.0,89.0,6.0,10.0,8,5,general
202086,Noah,Guangzhou,female,159.0,82.0,90.0,88.0,73.0,87.0,8.0,9.0,10,5,good
202087,Dick,Guangzhou,male,174.0,83.0,84.0,81.0,65.0,88.0,5.0,10.0,10,10,bad
202088,Marshal,Guangzhou,male,181.0,71.0,73.0,86.0,73.0,88.0,10.0,10.0,8,7,good
202089,Harrison,Shenzhen,male,164.0,82.0,94.0,84.0,78.0,92.0,7.0,7.0,10,9,general
202090,Vera,Beijing,male,172.0,74.0,84.0,76.0,84.0,91.0,10.0,6.0,7,8,good
202091,Monica,Shanghai,male,172.0,85.0,82.0,81.0,76.0,88.0,10.0,10.0,6,6,general
202092,Roy,Shanghai,female,161.0,77.0,87.0,87.0,72.0,89.0,7.0,10.0,7,8,bad
202093,Owen,Beijing,female,156.0,76.0,94.0,96.0,72.0,92.0,6.0,6.0,8,4,general
202094,Glendon,Guangzhou,female,168.0,81.0,56.0,84.0,61.0,84.0,6.0,10.0,10,8,good
202095,Britney,Guangzhou,female,166.0,78.0,84.0,91.0,72.0,91.0,5.0,10.0,9,10,bad
202096,Miranda,Shenzhen,male,172.0,72.0,77.0,78.0,77.0,91.0,9.0,10.0,10,6,good
202097,Andrew,Shanghai,male,168.0,76.0,71.0,83.0,75.0,93.0,10.0,7.0,10,4,bad
202098,Elijah,Shenzhen,female,160.0,67.0,77.0,87.0,62.0,91.0,6.0,10.0,8,9,excellent
202099,Alexander,Beijing,male,169.0,88.0,77.0,83.0,75.0,88.0,7.0,6.0,9,8,excellent
202100,Octavia,Shenzhen,female,164.0,77.0,61.0,84.0,91.0,93.0,7.0,9.0,6,8,general
202101,Jonathan,Shanghai,male,163.0,80.0,78.0,91.0,64.0,88.0,9.0,8.0,7,5,excellent
202102,Violet,Shenzhen,female,163.0,76.0,78.0,93.0,78.0,92.0,10.0,9.0,10,10,good
202104,Mia,Guangzhou,female,163.0,85.0,78.0,76.0,68.0,91.0,10.0,7.0,6,10,general
202105,Frederica,Guangzhou,male,167.0,80.0,97.0,86.0,52.0,89.0,6.0,6.0,9,5,good
202106,Carry,Shenzhen,female,167.0,76.0,72.0,83.0,59.0,92.0,8.0,5.0,5,9,good
202107,Tamara,Shanghai,female,156.0,81.0,74.0,79.0,68.0,87.0,10.0,6.0,8,8,bad
202108,Robert,Guangzhou,male,166.0,82.0,79.0,82.0,65.0,89.0,7.0,9.0,9,7,general
202109,Edmund,Shanghai,female,159.0,82.0,78.0,97.0,66.0,91.0,7.0,10.0,8,8,general
